Name,Country,Number of locations,Notes,ISO3
Killiney,Singapore,48,"Singapore, Malaysia, Indonesia, Australia, and U.S.",SGP
O' Coffee Club,Singapore,33,"Singapore, Malaysia, and Indonesia",SGP
Ya Kun Kaya Toast,Singapore,50+,Chain of kopitiams based in Singapore,SGP
Mugg & Bean,South Africa,184,,ZAF
Vida e Caffè,South Africa,67,,ZAF
Caffe Bene,South Korea,"1,378","Cambodia, China, Indonesia, Malaysia, Mongolia, Philippines, Saudi Arabia, South Korea, Taiwan, U.S., and Vietnam",KOR
Compose Coffee,South Korea,"2,612",,KOR
Ediya Coffee,South Korea,"3,900+ as of 2024",,KOR
Paris Baguette,South Korea,"3,558","Based in Seoul, South Korea, with branches in U.S., Singapore, China, and Vietnam",KOR
A Twosome Place,South Korea,"1,069 as of 2018",,KOR
Espresso House,Sweden,510,"based in Sweden, locations in Norway, Finland, Denmark and Germany",SWE
Wayne's Coffee,Sweden,140+,"Locations throughout Europe and scattered in Asia, mostly in Vietnam",SWE
Café Amazon,Thailand,"3,333 as of March 2021","A subsidiary of PTT, based in Bangkok, Thailand. Area served: Thailand, Cambodia, Laos, Philippines, Myanmar, Oman, Singapore, Japan, Malaysia, China and Vietnam.",THA
Coffee World,Thailand,100+,"Founded in Bangkok, Thailand; has locations in nine countries",THA
Caffè Nero,United Kingdom,"1,026","UK, Cyprus, Ireland, Poland, Sweden,  Turkey, UAE, US",GBR
Coffee Republic,United Kingdom,129,"UK, Southeast Europe, Middle East",GBR
Costa Coffee,United Kingdom,"3,401","Global headquartered in Dunstable, Bedfordshire, with locations in the UK, Pakistan, Ireland, Germany, Hungary, France, Spain, Portugal, Poland, Bulgaria, Cyprus, China, India, UAE, Qatar and more",GBR
Greggs,United Kingdom,"2,000+",,GBR
Pret a Manger,United Kingdom,450+,"UK, U.S., Hong Kong, France, Dubai, Kuwait, Germany, Switzerland, Belgium, Ireland, Canada, and Singapore.",GBR
The Coffee Bean & Tea Leaf,United States,"1,000+","U.S., India, Malaysia, Pakistan, Philippines, Bangladesh, South Korea, Singapore, Israel, Sri Lanka",USA
Dunkin',United States,"11,000+","Global, based in Quincy, Massachusetts, U.S.",USA
Gloria Jean's Coffees,United States,"1,000+","Australia, Azerbaijan, Cyprus, India, Bangladesh, Malaysia, New Zealand, Pakistan, Philippines, Vietnam, Cambodia, Sri Lanka, Thailand, Taiwan, Ukraine, and United States. Its headquarters are now in Australia. Keurig Dr Pepper owns the North American non-coffeehouse retail rights for this brand.",USA
Krispy Kreme,United States,"1,005","Global, based in Winston-Salem, North Carolina",USA
Starbucks,United States,"33,833","Global, headquartered in Seattle, Washington, U.S.",USA
The Coffee House,Vietnam,152,,VNM
Highlands Coffee,Vietnam,"819 (Number in Oct, 2024)","Vietnam, Philippines",VNM
